Component,Reason
16,Noisy time series.
38,Noisy time series.
44,Noisy time series.
12,Noisy time series.
10,Noisy time series.
21,Noisy time series.
23,Noisy time series.
20,Noisy time series.
31,Noisy time series.
21,Noisy time series.
