Component,Reason
10,Noisy time signal. Could be that electrode is losing touch with scalp.
41,Noisy time signal. Could be that electrode is losing touch with scalp.
28,Noisy time signal. Could be that electrode is losing touch with scalp.
11,Noisy time signal.
21,Noisy time signal.
32,Noisy time signal.
26,Noisy time signal.
24,Noisy time signal.
25,Noisy time signal.
