Component,Reason
0,Appear to be eyeblinks due to peaks in time series and frontal activity.
1,Appear to be eyeblinks due to peaks in time series and frontal activity.
4,Appear to be eyeblinks due to peaks in time series and frontal activity.
6,Appear to be eyeblinks due to peaks in time series and frontal activity.
15,Appear to be eyeblinks due to peaks in time series and frontal activity.
18,Appear to be eyeblinks due to peaks in time series and frontal activity.
22,Appear to be eyeblinks due to peaks in time series and frontal activity.
27,Appear to be eyeblinks due to peaks in time series and frontal activity.
