Component,Reason
19,"Noisy time series, seems like electrode lost touch with the scalp."
12,"Noisy time series, seems like electrode lost touch with the scalp."
42,Noisy time series.
21,Noisy time series.
29,Noisy time series.
43,Noisy time series.
49,Noisy time series.
