Component,Reason
33,Does not appear to be a brain signal.
27,Time series becomes more noisy after approximately 300 seconds.
35,Time series becomes more noisy after approximately 300 seconds.
36,Time series becomes more noisy after approximately 300 seconds.
40,Time series becomes more noisy after approximately 300 seconds.
