Component,Reason
0,Appear to be eyeblinks due to peaks in time series and frontal activity.
1,Appear to be eyeblinks due to peaks in time series and frontal activity.
2,Appear to be eyeblinks due to peaks in time series and frontal activity.
3,Appear to be eyeblinks due to peaks in time series and frontal activity.
6,Appear to be eyeblinks due to peaks in time series and frontal activity.
7,Appear to be eyeblinks due to peaks in time series and frontal activity.
8,Appear to be eyeblinks due to peaks in time series and frontal activity.
9,Appear to be eyeblinks due to peaks in time series and frontal activity.
