Component,Reason
21,Noisy time series
48,Noisy time series
28,Noisy time series
25,"Noisy time series, seems like electrode may have lost touch with scalp."
36,"Noisy time series, seems like electrode may have lost touch with scalp."
14,Becomes noisy after 370 seconds.
23,Becomes noisy after 370 seconds.
37,Becomes noisy after 420 seconds.
41,Becomes noisy after 420 seconds.
44,Becomes noisy after 420 seconds.
46,Becomes noisy after 420 seconds.
55,Becomes noisy after 420 seconds.
